smiles,refcode
c1ccc2c(c1)cccc2c1cccc2cccnc12,EXISEK
CC1(CC(=O)C2(O)C(=C1)C(O)C1OC(=O)C3(C)CCC4CC24C13)C=C,EYOGEF
CCC(C)C1N(OCc2ccccc2)C(=O)C(C(C)CC)N(OCc2ccccc2)C1=O,EYOLAG
COC(=O)C12CC(C=C)C(N)C1c1ccccc1NC2=O,EZAZEL
CC(NC(=O)COc1cccc2ccccc12)C(=O)NCC(O)=O,FACLIG
CC(C)(C)C1=CC(C=C(C1=O)C(C)(C)C)=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C,FADDOD03
CNC(=O)C(NC(C)=O)=CC,FADWEO
OC(=O)C1CC21CC12CC21CC2,FAFDEW
OC1C(CCCC1=Cc1ccccc1)CN1CCOCC1,FALSAN
O=C1CCC23CCCN2C(=O)CCCC3C1,FARJAK
[N+]C(Cc1ccc(O)cc1)C(=O)[O-],FAZHET01
CC1CC2C(C3C=CCC4CCC(O)C14C3=O)C2(C)C,FEJCIH
COc1ccc(NC=O)cc1,FELVIC01
COC1=C(N=CN1C)N(=O)=O,FICDOK01
CC1CCCC2(C)CC3OC(=O)C(=C)C3C3OC123,FIFQIU01
CCCC1=Cc2cccnc2N1,FIXMUV
O=C1N(Cc2ccccc2)C(=O)c2ccccc12,FOLBUE01
OC(=O)C1=CC=CO1,FRANAC04
CC(C)(OO)c1ccncc1,FUBWAB
CC1(C)OC2OC(C(O)C2O1)C(=O)C1CC2CC1C=C2,FUBZAE
N#CCc1ccccc1CC#N,FUGWOU
CCOC(=O)C(N1N=C(C)C=C1C)N1N=C(C)C=C1C,FUHZAK
CC1=NC=CN1,FULPIM
OC1CCCCc2ccc(Oc3cc(CC1)ccc3O)cc2,FUMFUP
CC(C(=O)c1ccc(OCc2ccccc2)cc1)c1ccccc1,FUNZAQ
COc1cc(CC=CCc2cc(OC)c(O)c(C=O)c2)cc(C=O)c1O,FUPTOA
Oc1c(CC=CCc2cccc(C=O)c2O)cccc1C=O,FUPTUG
CC(C)COc1cccc(Nc2ccccn2)c1,FUTCED
O=C(Nc1ccccc1)Nc1ccc(cc1)N(=O)=O,FUWJAJ
CC(Nc1ccc(cn1)N(=O)=O)c1ccccc1,FUXZIH01
O1C=CC2C1OC1OC3OC=CC3C21,GACGEY
CC1(COC(=O)C21OC(=CC2=O)c1ccccc1)C=C,GAKPUE
CCOc1ccc(cc1)N(=O)=O,GAKQEP
Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1,GANSUK
C1CCc2c(C1)nc(cc2c1ncccn1)c1ccccc1,GANVOH
O=C1Cc2c1c1C(=O)Cc1c1C(=O)C(=O)c21,GEFBAV
c1ccc(cc1)c1c2cccc3c4ccccc4c(c23)c2c(c3ccccc3)c3cccc4c5ccccc5c(c34)c12,GEGQUF
CC1=CN(CC(N)=O)C(=O)NC1=O,GEHVOF
OC(=O)c1ccc2CCC(=O)c2c1,GEJCUU
CC(=O)C(Cc1ccc(CC(C(C)=O)C(C)=O)cc1)C(C)=O,GEJDAB01
CC(=O)CCC1C(=O)C=C2C(C)(C)CCCC12C,GEKDAC
O=C1OCCCOC(=O)c2ccc(cc2)C(=O)OCCCOC(=O)c2ccc1cc2,GILGAK
CN1c2ncc(C)cc2C(=C1c1ccccc1)CC(C)(C)C,GILXUV
C(CCN(Cc1ccccn1)Cc1ccccn1)CN(Cc1ccccn1)Cc1ccccn1,GIMTEC
CC(=O)c1ccc(O)cc1O,GINCAI01
Cc1cc(nc(N)n1)c1ccncc1,GIRNOL
Nc1ccc(cn1)C#Cc1cccnc1,GIRPED
O=C(Nc1ccccc1)Oc1ccc(cc1)N(=O)=O,GISTAE
OCC1OC(O)C(O)C(O)C1O,GLUCSE02
[N+]CC(=O)[O-],GLYCIN69
[N+]CC(=O)NCC(=O)[O-],GLYGLY19
Cc1ccc(Oc2cnc3ccccc3n2)cc1,GOFVON
[N-]=[N+]=Nc1ccccc1c1ccccc1,GOVZUM01
COc1cccc2C(O)CC(=C)c12,GUCJUK
CC1CC(O)C(N(=O)=O)C(O)(C1C(=O)c1ccccc1)c1ccccc1,GUCNIC
COC(=O)C([n+]1ccccc1)=C(C(=O)OC)[C-]1C(=O)COC1=O,GUGJUO
CCOC(=O)CC1=NN=NN1CCNC(=O)OC(C)(C)C,GUGKAV
COC(=O)C1C(C(=O)OC)C21C(=O)CC(C)(C)CC2=O,GUHCUI
c1nc2ccc3c4ccc5ncnc6ccc(c7ccc(n1)c2c37)c4c56,GUSKEL
COC(=O)C1(CC2C(C1)C(=C(C)C2c1ccccc1)C)C(=O)OC,GUVNOB
COCCCN1C(=O)c2cccc3cccc(C1=O)c23,GUWDUX
O=C(C1C2CCC1C2(c1ccccc1)c1ccccn1)c1ccccc1,HADLOO
COC(=O)C1=C(C(=O)OC)C2(c3ccccc3)c3ccccc3C1c1ccccc21,HADMAA01
COc1ccc(O)c(C=NC2=C(C)N(C)N(C2=O)c2ccccc2)c1,HAHTAN
Cc1cc(C)c2ccc3c(C)cc(C)c4ccc1c2c34,HAJJOT
C1=CN2N=CN=C2N=C1,HAMGOT
O=C(NC1CCCCC1)C1=Cc2ccccc2OC1=O,HAMVEX
Cc1cc(O)c2c(O)c(C(C)=O)c(C)cc2c1,HEKWAV01
CCCCNc1cc(cc(C)[n+]1[O-])N(=O)=O,HENCEJ
CCCCCCC,HEPTAN02
CC1(C)COC(=N1)c1ccccc1N=C(c1ccccc1)c1ccccc1O,HERMAT
CC(O)CN1CCNCCN(CCN(CC1)CC(C)O)CC(C)O,HESKUM
OC12CCCCC1(CCC#N)CCC(=O)C2,HEWSIM
CCCCCC,HEXANE01
COC(=O)C(=Cc1ccc(C)cc1)C#N,HEXXEO
O=C(NCCCCCC#N)NCCCCCC#N,HEZSUA
CC1(C)CC2OC2(C)CCC2OC2(C)C(O)C2OC12,HIBBOK
Cc1ccc(cc1)C=C1C=Cc2ccccc12,HIHBAC
O=C1Oc2ccccc2O1,HIRSUX
O=C1OC2CCC1C1COCC21,HIXJEE
CC1(C)OC2C(O)COC(OCc3ccccc3)C2O1,HIYRUD
O=N(=O)[N-][N+]1=NNC=C1,HIZTEQ
CC1=CC(=O)OC2CCCCC12C(=O)OC(C)(C)C,HOCSOI
O=N(=O)C1=NC=CN1CCOCCOCCN1C=CN=C1N(=O)=O,HODWAZ
CC(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)C(C)=O,HOJVIM
C1Cc2ccccc2C2N(Cc3ccccc3)Cc3ccccc3N12,HOPNIK
OC(=O)c1ccccc1C(=O)OCCCCOC(=O)c1ccccc1C(O)=O,HOQXER
NN1C=CC=N1,HOYMAJ
Cc1nc(N)nc2ccccc12,HUCBIR
