Clc1ccc(cc1)N(C=O)c1ccccn1	AQAZAV
FC(F)(F)c1ccc(cc1)C1=NC=C(S1)C1=CC2=C(S1)C(=O)C1=C(SC(=C1)C1=CN=C(S1)c1ccc(cc1)C(F)(F)F)C2=O	AQEJEM
Fc1ccc(cc1)C1=CC(C=C(O1)c1ccc(F)cc1)=C1C=C(OC(=C1)c1ccc(F)cc1)c1ccc(F)cc1	AQUNUW
FC(F)(F)c1cc(Br)c2nc(cnc2c1)c1ccc(Cl)cc1.FC(F)(F)c1cc(Br)c2ncc(nc2c1)c1ccc(Cl)cc1	ASIWIJ
Fc1cc(F)c(c(F)c1)c1c(F)cc(F)cc1F	ATOZOY01
Clc1ccc(cc1)N=C1C(=O)c2cccc3cccc1c23	ATUNUZ
Ic1ccc(cc1)C1=CC(=O)C=CC1=O	AVAGUA
Fc1c(N2CCCCC2)c(N2CCCCC2)c(F)c2c(F)c(N3CCCCC3)c(N3CCCCC3)c(F)c12	AVAHOU
Fc1c(Cl)cccc1C#N	AWOBIZ
Fc1ccc(Cl)cc1C#N	AWOBUL
Fc1ccccc1C#C	AXUBUR01
Fc1cccc(c1)C#C	AXUCEC
Brc1ccc(cc1)N1CSCSC1	AYAMUJ
Brc1ccc(cc1)C=C1Cc2ccccc2C1=O	AYUFAC01
Brc1ccc(cc1)N=Nc1ccc(Br)cc1	AZBNBT02
Clc1ccc(C=O)cc1Cl	AZIBER
Clc1cc(Cl)cc(C=O)c1	AZIBIV
Brc1ccc(cc1)C1=NN(C=C1C=O)c1ccccc1	AZUGIM
NC(=O)c1ccc(Br)cc1	BBEZAM04
CC1=Cc2cc3cc4cc5SC(=Cc5cc4cc3cc2S1)C	BEGJEE
Clc1ccc(cc1N(=O)=O)N(=O)=O	BENCLN02
OC(=O)c1ccc(I)cc1	BENMOW02
FC(F)(F)c1ccc(cc1)C1=C2c3ccc(cc3C(=C2c2ccc(cc12)C(F)(F)F)c1ccc(cc1)C(F)(F)F)C(F)(F)F	BEQZEE
FC(F)(F)c1c2cc3ccccc3cc2c(c2cc3ccccc3cc12)C(F)(F)F	BESSOJ
Fc1cc(cc(F)c1C=O)C#N	BETMET
Nc1c(c(N)c(c(F)c1N(=O)=O)N(=O)=O)N(=O)=O	BEWYOR
Cc1cccc2C(=O)OI(c3ccccc3)c12	BIHJOT
Cc1cc(C)c(I2OC(=O)c3ccccc23)c(C)c1	BIHJUZ
CON=Cc1c(C)cc(Cl)cc1C	BILGIM
S1Sc2ccccc2c2ccccc12	BIPHDS02
S1C(Sc2ccccc12)=C1Sc2ccccc2S1	BIRKIW03
BrC#Cc1ccc(I)cc1	BISBAI
Oc1ccc(cc1)c1ccccc1	BOPSAA02
FC(F)(F)c1cc(Cl)c2c(ccc3c2ccc2cc(cc(Cl)c32)C(F)(F)F)c1	BOXTEP
CC1=C2C(c3ccccc3)C(=C(N)OC2=NN1)C#N	BOYZUL
Brc1c(cc2ccccc2c1c1c(Br)c(cc2ccccc12)C#Cc1ccccc1)C#Cc1ccccc1	BOZKIL
Nc1c(Br)cc(Br)cc1Br	BRANIL
OC(=O)c1ccccc1Br	BRBZAC01
OC(=O)c1ccc(Br)cc1	BRBZAP01
S=C1Oc2ccccc2C=C1	CABYAG01
Clc1ccc(cc1)c1nc2ccccc2c(c2ccccc2)c1Sc1c(nc2ccccc2c1c1ccccc1)c1ccc(Cl)cc1	CAKMEI
Clc1ccc2nc(c3ccccc3)c(Sc3c(nc4ccc(Cl)cc4c3c3ccccc3)c3ccccc3)c(c3ccccc3)c2c1	CAKMIM
Nc1cc(ccc1I)N(=O)=O	CAMSIT
Nc1cc(Cl)c(Cl)cc1N(=O)=O	CARDOO
Brc1cc2ccc3cc(Br)cc4ccc(c1)c2c34	CARJEM
Fc1c(F)c(F)c2ccccc2c1F	CAXNUL01
Fc1c(F)c(F)c2ccccc2c1F	CAXNUL06
Fc1cc2nc3SC(Sc3nc2cc1F)=C1Sc2nc3cc(F)c(F)cc3nc2S1	CEPCAC
Clc1cc2nc3SC(Sc3nc2cc1Cl)=C1Sc2nc3cc(Cl)c(Cl)cc3nc2S1	CEPCEG
Clc1ccc(cc1)C(=O)c1ccncc1	CEYWOS
Clc1ccc2ccccc2n1	CHLQUI10
Brc1ccc(cc1)C1=C2C=CC=C2C(=NN1)c1ccc(Br)cc1	CIHNIS
O=C1N(CCc2ccncc2)C(=O)c2ccc3C(=O)N(CCc4ccncc4)C(=O)c4ccc1c2c34	CIKSIZ
Brc1ccc(cc1)C1OC(=Cc2ccccc12)c1ccccc1	CIRSIH
N#Cc1c2CSCc3cccc(CSCc1ccc2)c3C#N	CIXJOJ
Cc1cccc(C)c1c1cccc(c1I)c1c(C)cccc1C	CIYQUY
Cc1c(C)c(C)c(c(C)c1C)c1cccc(c1I)c1c(C)c(C)c(C)c(C)c1C	CIYREJ
FC(F)(F)c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2c(c3ccc(cc3)C(F)(F)F)c3ccccc3c(c3ccccc3)c12	CIYXUF
Nc1ccc(Cl)cc1	CLANIC05
OC(=O)c1ccccc1Cl	CLBZAC02
OC(=O)c1ccc(Cl)cc1	CLBZAP03
OC(=O)c1ccc(Cl)cc1	CLBZAP10
N#Cc1c2CSCc3cccc(CSCc1ccc2)c3C#N	CODBON
Fc1c(F)c(F)c2c(ccc(C=O)c2c2cccc3ccccc23)c1F	COFHEM
Clc1ccc(cc1)c1c2ccc(Cl)cc2c(C#N)c2c(c3ccc(Cl)cc3)c3ccc(Cl)cc3c(C#N)c12	COGBIL
Clc1cc(Cl)c(I)c(c1)N(=O)=O	COGPOF
O=CC1=CNc2ccccc12	COMWOQ04
Brc1ccc2N3CCOC4CCC(=O)C(=C34)c2c1	COTHAW
Brc1ccc2N3CCOC4CCCC(=O)C(=C34)c2c1	COTHEA
Brc1ccc2N3CCOC(CCC(=O)C(=O)c2c1)C3=O	COTHIE
Brc1ccc2N3CCOC4CCC(=O)C34C(=O)c2c1	COTHOK
O=C1CCC2OCCN3c4ccc(cc4C(=O)C123)N(=O)=O	COTHUQ
Brc1ccc2N3CCOC4CCCC(=O)C34C(=O)c2c1	COTJAY
Brc1ccc2N3CCCC(CCC(=O)C(=O)c2c1)C3=O	COTJEC
O=C1Oc2ccccc2C=C1	COUMAR11
Brc1cccc2C(=O)C(=COc12)C=O	CURPUC
OC1CCCCC1Oc1ccc(Br)cc1	CURQEM
OC1CCC(C#N)(C#N)C(C1N(=O)=O)c1ccc(Cl)cc1	CURQUC
FC(F)(F)c1ccc2C3C=CC4COCC4C3C(Nc2c1)c1ccccc1	CUTZOH
CN1N=C(C(c2ccc(Br)cc2)C2=C1c1ccccc1C(=O)C2=O)c1ccc(Br)cc1	CUYZUT
OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2c(Cl)cccc12	DADZIS
OC1(C#C)c2cccc(Cl)c2C(=O)c2cccc(Cl)c12	DADZOY
OC1(C#C)c2ccccc2C(O)(C#C)c2c(Cl)ccc(Cl)c12	DADZUE
