Cc1cc(Br)ccc1N	ABRTOL
Cc1cc(C)cc(c1)c1c2ccccc2c(c2cc(C)cc(C)c2)c2c(c3ccc(cc3)C(F)(F)F)c3ccccc3c(c3ccc(cc3)C(F)(F)F)c12	MIVDOM
FC(F)(F)c1ccc(cc1)c1c2ccccc2c(c2ccc(cc2)C(F)(F)F)c2c(c3ccccc3)c3ccccc3c(c3ccccc3)c12	MIVDUS
Nc1cccc(c1)N(=O)=O	MNIANL11
FC(F)(F)c1ccc2C(=O)C(Nc2c1)=C1Nc2cc(ccc2C1=O)C(F)(F)F	MOGRUX
Fc1ccc(cc1)C1=NN(c2ccccc2)C(=C1)c1ccc(F)cc1	MOJBEU
FC(F)(F)c1ccc(cc1)c1c2ccccc2c(c2ccc(cc2)C(F)(F)F)c2cc3cc4SC(=S)Sc4cc3cc12	MUJSER
FC(F)(F)c1cccc(c1)c1cnc2ccccc2c1	NIJMUQ
Brc1ccc(cc1)C1=C(C(=O)C(=C1c1ccc(Br)cc1)c1ccccc1)c1ccccc1	NIKSUW
Cc1cc2nc(N3C=Cc4c(Br)cccc34)c(nc2cc1C)c1ccccc1	NISSUF
Fc1c(F)c(F)c2C#Cc3c(F)c(F)c(F)c(F)c3C#Cc3c(F)c(F)c(F)c(F)c3C#Cc2c1F	NOLSUD
FC(F)(F)c1ccc(cc1)c1ccc2C(=O)c3cc(ccc3C(=O)c2c1)c1ccc(cc1)C(F)(F)F	NUDWUF
CC1C(C=C(OC1=O)C(F)(F)F)c1ccc(Br)cc1	NUPJEP
Brc1cc2cc3cc4cc5ccccc5cc4cc3cc2cc1Br	OKANOE
OC(=O)c1ccc(F)cc1Cl	OVISOC
Fc1c(F)c(F)c(c(F)c1F)c1nc2ccc3c4ccc5nc(nc6ccc(c7ccc(n1)c2c37)c4c56)c1c(F)c(F)c(F)c(F)c1F	OXEMOU
OC(=O)c1c2ccccc2c(Cl)c2ccccc12	PAMCEN
