CC(=O)NCCNC(=O)C	ABAWEG01
Brc1cnc(c(c1)Br)N=Nc1cc(C)c(cc1N)N	DOPLUP
OCc1c(C=CC2OC(C(C2O)O)C)cccc1OC	DORKAX
O=C1CC(C)(C)CCC1C1CCC(CC1=O)(C)C	DOSCUK
O=C1CCCCC1C1CC(C)(C)C=CC1=O	DOSDEV
CC(=C)C1CC=C(C(=O)C1C1CCCC1=O)C	DOSDIZ
N=N=C(c1ccccc1C1OCCO1)c1ccc(cc1)c1ccccc1	DOYLEJ
C1CC=C2C(C1)N(CC2)Cc1ccccc1	DOYNIP
C1=CC2C(O1)OC1C2C2C(O1)OC1C2C=CO1	DUBQAT
CCCC	DUCKOB04
CC(=O)Oc1ccc(cc1)C=Cc1ccc(cc1)OC(=O)C	DUDFIS
NNC(=O)CNc1ccc(cc1)C	DUDGIT
O1CC1	DUFBOV11
OC(=O)c1cccc2c1CCCC2	DUJKUP
CCOC(=O)C(=NOC)C(=O)c1ccc(cc1)N(=O)=O	DUNQOT
O=C(c1ccc(cc1)N)OCCCOC(=O)c1ccc(cc1)N	DUSLIN
COc1ccc(cc1)C=CC(=O)c1ccc(cc1)N1CCCCC1	DUSWAQ
COc1cc(OC)c(cc1C=Nc1onc(c1C)C)OC	DUTBAW
Brc1sc2c(c1)[nH]cn2	DUTBIE
Cc1nc(N)n2c(n1)nc(cc2=O)C	DUTHEG
Brc1ccc2c(c1)ccc1c2C(NC(O1)c1ccccc1)c1ccccc1	DUTHUW
OC(=O)c1c(F)cccc1F	DUTREQ
Clc1ccc(c2c1C(=O)c1c(C2=O)c(Cl)ccc1N(=O)=O)N(=O)=O	DUTWEV
CC1C2CCC3(C(C2Cc2c1cco2)(C)CCCC3(C)C)O	DUVCON
Clc1cc(c(c(c1C)c1c(C)c(Cl)cc(c1O)C(C)(C)C)O)C(C)(C)C.Clc1cc(c(c(c1C)c1c(C)c(Cl)cc(c1O)C(C)(C)C)O)C(C)(C)C.Clc1cc(c(c(c1C)c1c(C)c(Cl)cc(c1O)C(C)(C)C)O)C(C)(C)C	DUWHAF
O=N(=O)c1cc(I)c(c(c1O)F)F	DUWLUD
O=C1CCc2c(N1)nc1c(c2)ccc2c1cccc2	DUXCUV
CC(C1=CC=C(C(=O)C1=O)C(C)(C)C)(C)C	DUYZAZ
C1Cc2ccc(cc2)CCc2ccc1cc2	DXYLEN13
O=C(C=[N+]=[N-])ON1C(=O)CCC1=O	EABXIO01
CC1CC2CCC3C2(C(=C1)C(=O)O3)O	EBOVUN
CCOC(=O)C1CC2(N(C1=O)C(OC2)C(C)(C)C)C(=O)OC	ECUKAO
Nc1ccc2c(c1)nc(cc2C(F)(F)F)C(F)(F)F	EDORIA
CC1(C)OC2C(O1)C1(C(O2)C2C(C1)(C)CC2)OCc1ccccc1	EDUKAP
N#Cc1ccc(cc1)C(F)(F)F	EFATOU
O=N(=O)c1ccc(c(c1)C(F)(F)F)N	EFAXUE
Nc1ccc(c(c1)C(F)(F)F)N(=O)=O.Nc1ccc(c(c1)C(F)(F)F)N(=O)=O	EFAYAL
